2,João Cleber,6, 10.0,10.0,4.0
4,Andréia,1, 3.0,5.0,2.0
5,Pedro,3, 5.0,2.0,4.0
6,Carolina,3, 4.0,7.0,6.0
7,Ricardo,2, 5.0,8.0,4.0
8,Mariana Silva,2, 9.0,5.0,6.0
9,Lúcia,4, 6.0,5.0,3.0
10,Ana Maria,5, 7.0,3.0,9.0
12,Isabela,6, 4.0,9.0,8.0
14,José Carlos,8, 6.0,10.0,3.0
15,Artur,12, 6.0,10.0,5.0
17,Carlos,8, 4.0,6.0,7.0
19,Luiz Felipe,10, 8.0,7.0,4.0
20,Fernando,9, 7.0,8.0,5.0
22,Paulo Henrique,3, 1.0,2.0,3.0
23,Patrícia,7, 9.0,8.0,7.0
26,Henrique,4, 6.0,8.0,5.0
28,Isabel,6, 9.0,7.0,8.0
30,Elyzabeth,0, 8.0,6.0,9.0
44,Gabriel,0, 6.0,5.0,10.0
99,99osdpfkdsĺf,99, 99.0,99.0,99.0
9999,coco,9, 9.0,9.0,9.0
